epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,557.296,1.87966,2.4164,1.92208,0.34157,0.32702,0.2481,0.07177,2.37266,2.58627,2.19794,0.0006625,0.0006625,0.0006625
2,1095.84,1.86641,2.10876,1.89554,0.38182,0.38802,0.30811,0.09971,2.46207,2.38036,2.36978,0.0012853,0.0012853,0.0012853
3,1633.05,1.87734,2.00682,1.90608,0.40619,0.37694,0.33343,0.11739,2.36271,2.21178,2.16315,0.00186411,0.00186411,0.00186411
4,2170.64,1.83992,1.96317,1.87855,0.36689,0.34596,0.29279,0.09583,2.46532,2.21666,2.29322,0.001802,0.001802,0.001802
5,2702.82,1.83885,1.92018,1.86897,0.44016,0.43844,0.39002,0.12654,2.35702,2.06097,2.13317,0.001736,0.001736,0.001736
6,3236.49,1.80945,1.83961,1.83782,0.48718,0.41308,0.41063,0.14132,2.26696,2.14602,2.05725,0.00167,0.00167,0.00167
7,3772.84,1.78315,1.81108,1.83403,0.49696,0.46472,0.46315,0.15215,2.40937,1.88463,2.16911,0.001604,0.001604,0.001604
8,4309.31,1.75093,1.73702,1.79816,0.47238,0.50602,0.43937,0.14951,2.33692,1.88419,2.14429,0.001538,0.001538,0.001538
9,4842.8,1.75896,1.70075,1.77581,0.58727,0.48001,0.4861,0.17238,2.29897,2.13243,2.0702,0.001472,0.001472,0.001472
10,5381.61,1.72299,1.68997,1.7762,0.53416,0.5043,0.49389,0.17125,2.29621,1.83292,2.10162,0.001406,0.001406,0.001406
11,5919.08,1.70106,1.66627,1.76438,0.43193,0.50254,0.40303,0.1408,2.17453,2.09006,2.02826,0.00134,0.00134,0.00134
12,6453.22,1.69093,1.65524,1.75708,0.54683,0.50884,0.50838,0.19179,2.20973,1.75789,2.01391,0.001274,0.001274,0.001274
13,6990.14,1.65386,1.6024,1.71831,0.56292,0.40792,0.42246,0.13094,2.43236,1.94298,2.22164,0.001208,0.001208,0.001208
14,7529.38,1.68627,1.59639,1.73825,0.58175,0.49225,0.51174,0.17962,2.2583,1.72062,2.09649,0.001142,0.001142,0.001142
15,8062.23,1.63602,1.54665,1.71148,0.57639,0.45955,0.47401,0.17497,2.20154,1.7708,2.06835,0.001076,0.001076,0.001076
16,8595.84,1.63439,1.53692,1.69692,0.56748,0.53184,0.53773,0.19779,2.18571,1.67282,2.03367,0.00101,0.00101,0.00101
17,9134.14,1.62945,1.50755,1.68546,0.63497,0.5043,0.56428,0.19918,2.19897,1.66922,2.0569,0.000944,0.000944,0.000944
18,9668.51,1.59794,1.45248,1.66424,0.60657,0.5201,0.54076,0.20247,2.20212,1.61486,2.06119,0.000878,0.000878,0.000878
19,10200.9,1.60706,1.45693,1.68106,0.63998,0.50775,0.55869,0.20991,2.18341,1.60691,1.98293,0.000812,0.000812,0.000812
20,10731.4,1.5599,1.39668,1.64408,0.6795,0.52324,0.56584,0.21509,2.14212,1.62058,1.99046,0.000746,0.000746,0.000746
21,11257.6,1.59823,1.35371,1.73669,0.613,0.52889,0.55072,0.22074,2.0883,1.63801,1.9491,0.00068,0.00068,0.00068
22,11783.9,1.56866,1.28492,1.70763,0.66728,0.53528,0.57471,0.22093,2.09282,1.57192,1.97515,0.000614,0.000614,0.000614
23,12311.6,1.55452,1.24203,1.69504,0.6664,0.55356,0.56585,0.21346,2.10851,1.63743,2.02099,0.000548,0.000548,0.000548
24,12843.1,1.52491,1.21282,1.67612,0.62021,0.55594,0.57266,0.22195,2.10652,1.59149,1.99434,0.000482,0.000482,0.000482
25,13369.7,1.49303,1.15913,1.66792,0.69564,0.55422,0.57594,0.22238,2.10419,1.52929,2.01759,0.000416,0.000416,0.000416
26,13899.5,1.48912,1.14495,1.66577,0.65825,0.55077,0.57089,0.22444,2.08152,1.53644,1.99981,0.00035,0.00035,0.00035
27,14426.9,1.45668,1.09917,1.64403,0.66982,0.5611,0.58867,0.22898,2.09038,1.51016,2.01736,0.000284,0.000284,0.000284
28,14955.7,1.43556,1.062,1.60666,0.65925,0.55422,0.57439,0.22772,2.12876,1.50436,2.02312,0.000218,0.000218,0.000218
29,15482.1,1.41891,1.05014,1.60308,0.67879,0.54389,0.57352,0.22286,2.12179,1.50471,2.03039,0.000152,0.000152,0.000152
30,16012.9,1.39502,1.02923,1.57607,0.67269,0.55183,0.57909,0.22478,2.0926,1.51421,2.01423,8.6e-05,8.6e-05,8.6e-05
